DeviceID,Time,Power(kW)
STP 17000TL-10 561,30.01.2020 13:00,3.66
STP 17000TL-10 431,30.01.2020 10:00,5.02
STP 17000TL-10 435,30.01.2020 10:00,4.59
STP 17000TL-10 561,30.01.2020 10:00,3.16
STP 17000TL-10 431,30.01.2020 12:00,5.93
STP 17000TL-10 435,30.01.2020 12:00,5.47
STP 17000TL-10 561,30.01.2020 12:00,4.75
STP 17000TL-10 431,30.01.2020 11:00,8.15
STP 17000TL-10 435,30.01.2020 11:00,7.88
STP 17000TL-10 561,30.01.2020 11:00,6.24
STP 17000TL-10 431,30.01.2020 17:00,0.89
STP 17000TL-10 435,30.01.2020 17:00,1.00
STP 17000TL-10 561,30.01.2020 17:00,1.11
STP 17000TL-10 431,30.01.2020 14:00,3.48
STP 17000TL-10 435,30.01.2020 14:00,3.46
STP 17000TL-10 561,30.01.2020 14:00,3.12
STP 17000TL-10 431,30.01.2020 15:00,3.67
STP 17000TL-10 435,30.01.2020 15:00,3.76
STP 17000TL-10 561,30.01.2020 15:00,3.53
STP 17000TL-10 431,30.01.2020 16:00,3.81
STP 17000TL-10 435,30.01.2020 16:00,4.43
STP 17000TL-10 561,30.01.2020 16:00,4.45
STP 17000TL-10 431,30.01.2020 18:00,0.07
STP 17000TL-10 435,30.01.2020 18:00,0.09
STP 17000TL-10 561,30.01.2020 18:00,0.10
STP 17000TL-10 431,29.01.2020 08:00,0.44
STP 17000TL-10 435,29.01.2020 08:00,0.44
STP 17000TL-10 561,29.01.2020 08:00,0.39
STP 17000TL-10 431,29.01.2020 07:00,0.03
STP 17000TL-10 435,29.01.2020 07:00,0.03
STP 17000TL-10 561,29.01.2020 07:00,0.01
STP 17000TL-10 431,29.01.2020 09:00,1.53
STP 17000TL-10 435,29.01.2020 09:00,1.39
STP 17000TL-10 561,29.01.2020 09:00,0.98
STP 17000TL-10 431,29.01.2020 13:00,3.13
STP 17000TL-10 435,29.01.2020 13:00,3.03
STP 17000TL-10 561,29.01.2020 13:00,2.72
STP 17000TL-10 431,29.01.2020 10:00,4.74
STP 17000TL-10 435,29.01.2020 10:00,4.36
STP 17000TL-10 561,29.01.2020 10:00,3.09
STP 17000TL-10 431,29.01.2020 12:00,2.46
STP 17000TL-10 435,29.01.2020 12:00,2.42
STP 17000TL-10 561,29.01.2020 12:00,2.15
STP 17000TL-10 431,29.01.2020 11:00,3.91
STP 17000TL-10 435,29.01.2020 11:00,3.92
STP 17000TL-10 561,29.01.2020 11:00,3.39
STP 17000TL-10 431,29.01.2020 17:00,0.97
STP 17000TL-10 435,29.01.2020 17:00,1.06
STP 17000TL-10 561,29.01.2020 17:00,0.94
STP 17000TL-10 431,29.01.2020 14:00,4.96
STP 17000TL-10 435,29.01.2020 14:00,4.96
STP 17000TL-10 561,29.01.2020 14:00,4.54
STP 17000TL-10 431,29.01.2020 15:00,4.64
STP 17000TL-10 435,29.01.2020 15:00,3.48
STP 17000TL-10 561,29.01.2020 15:00,4.36
STP 17000TL-10 431,29.01.2020 16:00,2.57
STP 17000TL-10 435,29.01.2020 16:00,3.04
STP 17000TL-10 561,29.01.2020 16:00,2.79
STP 17000TL-10 431,29.01.2020 18:00,0.06
STP 17000TL-10 435,29.01.2020 18:00,0.06
STP 17000TL-10 561,29.01.2020 18:00,0.06
STP 17000TL-10 431,28.01.2020 08:00,0.37
STP 17000TL-10 435,28.01.2020 08:00,0.36
STP 17000TL-10 561,28.01.2020 08:00,0.26
STP 17000TL-10 431,28.01.2020 07:00,0.00
STP 17000TL-10 435,28.01.2020 07:00,0.00
STP 17000TL-10 561,28.01.2020 07:00,0.00
STP 17000TL-10 431,28.01.2020 09:00,1.73
STP 17000TL-10 435,28.01.2020 09:00,1.59
STP 17000TL-10 561,28.01.2020 09:00,0.86
STP 17000TL-10 431,28.01.2020 13:00,7.55
STP 17000TL-10 435,28.01.2020 13:00,7.15
STP 17000TL-10 561,28.01.2020 13:00,6.28
STP 17000TL-10 431,28.01.2020 10:00,4.82
STP 17000TL-10 435,28.01.2020 10:00,4.45
STP 17000TL-10 561,28.01.2020 10:00,3.09
STP 17000TL-10 431,28.01.2020 12:00,9.26
STP 17000TL-10 435,28.01.2020 12:00,8.29
STP 17000TL-10 561,28.01.2020 12:00,6.99
STP 17000TL-10 431,28.01.2020 11:00,7.71
STP 17000TL-10 435,28.01.2020 11:00,5.28
STP 17000TL-10 561,28.01.2020 11:00,5.82
STP 17000TL-10 431,28.01.2020 17:00,1.08
STP 17000TL-10 435,28.01.2020 17:00,1.17
STP 17000TL-10 561,28.01.2020 17:00,1.16
STP 17000TL-10 431,28.01.2020 14:00,5.32
STP 17000TL-10 435,28.01.2020 14:00,5.38
STP 17000TL-10 561,28.01.2020 14:00,4.93
STP 17000TL-10 431,28.01.2020 15:00,2.57
STP 17000TL-10 435,28.01.2020 15:00,2.68
STP 17000TL-10 561,28.01.2020 15:00,2.50
STP 17000TL-10 431,28.01.2020 16:00,1.32
STP 17000TL-10 435,28.01.2020 16:00,1.41
STP 17000TL-10 561,28.01.2020 16:00,1.34
STP 17000TL-10 431,28.01.2020 18:00,0.36
STP 17000TL-10 435,28.01.2020 18:00,0.26
STP 17000TL-10 561,28.01.2020 18:00,0.25
STP 17000TL-10 431,27.01.2020 08:00,0.38
STP 17000TL-10 435,27.01.2020 08:00,0.48
STP 17000TL-10 561,27.01.2020 08:00,0.28
STP 17000TL-10 431,27.01.2020 07:00,0.05
STP 17000TL-10 435,27.01.2020 07:00,0.03
STP 17000TL-10 561,27.01.2020 07:00,0.02
STP 17000TL-10 431,27.01.2020 09:00,1.69
STP 17000TL-10 435,27.01.2020 09:00,1.74
STP 17000TL-10 561,27.01.2020 09:00,1.05
STP 17000TL-10 431,27.01.2020 13:00,9.78
STP 17000TL-10 435,27.01.2020 13:00,9.21
STP 17000TL-10 561,27.01.2020 13:00,8.09
STP 17000TL-10 431,27.01.2020 10:00,4.77
STP 17000TL-10 435,27.01.2020 10:00,4.45
STP 17000TL-10 561,27.01.2020 10:00,3.10
STP 17000TL-10 431,27.01.2020 12:00,10.05
STP 17000TL-10 435,27.01.2020 12:00,9.01
STP 17000TL-10 561,27.01.2020 12:00,7.42
STP 17000TL-10 431,27.01.2020 11:00,7.85
STP 17000TL-10 435,27.01.2020 11:00,7.66
STP 17000TL-10 561,27.01.2020 11:00,5.99
STP 17000TL-10 431,27.01.2020 17:00,0.62
STP 17000TL-10 435,27.01.2020 17:00,0.69
STP 17000TL-10 561,27.01.2020 17:00,0.74
STP 17000TL-10 431,27.01.2020 14:00,9.76
STP 17000TL-10 435,27.01.2020 14:00,9.46
STP 17000TL-10 561,27.01.2020 14:00,8.51
STP 17000TL-10 431,27.01.2020 15:00,5.74
STP 17000TL-10 435,27.01.2020 15:00,5.94
STP 17000TL-10 561,27.01.2020 15:00,5.46
STP 17000TL-10 431,27.01.2020 16:00,2.38
STP 17000TL-10 435,27.01.2020 16:00,2.85
